tweet,date
yine bir cumartesi akşamı aşırı sosyalim odamın hayaleti ile #tuborg içiyoruz    #SaldırGALATASARAY,2018-11-10
"Biz Kemancı, hatta Alt Kemancı nesliyiz o ayrı ama teklifi reddedemeyip geldiğim bu mekanda da gördüm ki aslolan müzik.. #Tuborg #100de100MUSIC #BeerHouse pic.twitter.com/XguA13t9HK",2018-11-09
Tarafımız belli #tuborg  pic.twitter.com/4foQkQlP0b,2018-11-09
"#BiraYiyecekEşleşmesi Biraz meyve, biraz peynir; bu eşleşmede kullandığım yumuşak peynir, güçlü ve yoğun bir tat bırakırken armuttan gelen destekle damağı sadeleştirip lager tipi (#FrederikMarzenLager) biraya yer açıyor.  #masalakın #yiyecektasarım #tuborg #bira #beer #brewmaster pic.twitter.com/XiFSkF4rww",2018-11-09
Enflasyon ile mücadeleye sizde bi katkıda bulunmaz mıydınız? #tuborg,2018-11-09
@tuborg #şehirlerserisi #biranızda neden #vankedisi değil de #vankedisiheykeli birası yaptınız?? O şehirdeki #kedi heykeli değil #kedi nin kendi o şehre ait olan!!! #tuborg #bira #beer…  https://www.instagram.com/p/Bp7palmhiM-/?utm_source=ig_twitter_share&igshid=1ojx5nat7ewxj …,2018-11-08
Bira kapaklarında bedava çıksın #efes #tuborg #bomonti #Carlsberg #beks...👍🏻😄,2018-11-07
Can sıkıntısı :) #cansıkıntısı #beer #tuborg #tuborggold #editing  https://www.instagram.com/p/Bp1xX6sBS6P/?utm_source=ig_twitter_share&igshid=1dhdl393qjcjc …,2018-11-06
"Yeniliklerin hastasıyız.. #tuborg #beers @tuborg teşekkürler @ İzmir, Turkey  https://www.instagram.com/p/Bpw28IQH4P77DZdzxHdpwkQBpudU88UZNm813k0/?utm_source=ig_twitter_share&igshid=8pqw7p02d2uw …",2018-11-04
Bugün #efes ve #tuborg sevip'de kavuşamayanlara minnet'dar.,2018-11-04
"Tekirdağ mı? Çorum mu? İkisini de dene, tarafını seç :) #beer #bira #tuborg #tuborggold  https://www.instagram.com/p/BptyY7KAfF5/?utm_source=ig_twitter_share&igshid=19nm399pdiop1 …",2018-11-03
Maclari izlemek yerine J-day yapmis olmak dogru secimmis. #JuleBryg #Tuborg,2018-11-03
Mekanda içtiğim biranın tadı tekel bayiinden aldığım biradan farklı.Hoş bir aroma tadı var.Tekellerdeki biralarda neden yok? #tuborg,2018-11-02
"Bir Ankara klasiği ,Soğuk soğuk #tuborg #Kıtır 🍺 pic.twitter.com/93Xiqd7dZf",2018-11-01
20 Haziran'dan bu yana en büyük destekçilerime teşekkürler sayelerinde bugünleri de gördüm. #tuborg #bomonti,2018-10-30
Seni seviyorum aşkım. #Tuborg  pic.twitter.com/Rk45ddaFop,2018-10-25
O zaman yarasın mı? #Tuborg  pic.twitter.com/pUgmU5ZBZ8,2018-10-24
cheers!🍻 #tuborg #frederik (şişesi çok güzel lan) pic.twitter.com/ie5hMDdz5J,2018-10-23
"Eskiden 1,5 milyona bira alıyorduk 10 tane yarıdan sonra ılık içilmiyordu şimdi 12liradan 3 tane alıp soğuk soğuk içiyoruz sağol #tuborg",2018-10-21
Verimli bir #cumartesi ve #tuborg  pic.twitter.com/7acD3dL9yP,2018-10-20
Kedileri severim özellikle bira içenleri #kedi #efes #tuborg #bira pic.twitter.com/zJWVpOZhra,2018-10-20
#tuborg sen Danimarka birasisin. Alman yasalariyla ne isin olur? :)  pic.twitter.com/c3SoDQVBuE,2018-10-18
#tuborg gold 11 tl olmuş. Söylemek istediğim bu kadar,2018-10-18
Sadece tesadüf 💩 #tuborg  pic.twitter.com/xAtcLbG7cH,2018-10-18
#BeniMutluEdenŞey sonra konuşalim..bu gece olmaz...#raki #tuborg,2018-10-16
Eskiden 5 - 6 bira içmeden kafamız güzel olmazdı. Alkol bu  kadar zam yiyince tek şişede sallanmaya başladık. Kapitalin insan biyolojisindeki kimyasal reaksiyonuna en güzel örnek. Not edin not. #tuborg #efespilsen,2018-10-16
Kardeş tanıtım klibi gibi fotoğraf. Kullanın şunu telif falan da istemiyorum. Yer salda gölü #Tuborg  https://twitter.com/19teppista05/status/1049827232380841986 …,2018-10-15
Bira yok arpa için #tuborg #bira #zam pic.twitter.com/EzsIglCUeb,2018-10-14
Eğer bira içmek isterseniz kalitenin tek adresiyim #efes #tuborg,2018-10-14
tuborg cansın cannnn... #tuborg,2018-10-12
İzin günü uygulaması indiriyor..  #Tuborg  pic.twitter.com/TzWw3nnGPs,2018-10-11
Bira 13tl olmuş. Yakın zamanda evde bira yapımına başlicam. Sizin sayenizde bir nesil kimyager oluyor. Teşekkürler #efes #tuborg #bomonti,2018-10-10
ben #tuborg olsam yollardım senden iyi reklam yüzümü bulacaklar :),2018-10-09
herkese mavi boncuk bu #tuborg,2018-10-09
Gönüllü olarak milletçe %10 indirim yapıyoz. #rakı #mey #tuborg #efes #yenirakı #gönüllüindirimistiyoz #bomonti,2018-10-09
Tuborg tayfası 😎😎 #tuborg  pic.twitter.com/lzBQ4YIXqj,2018-10-06
Son zamlardan sonra Tuborg-Efes bira fiyatları 😭😭😭 Evde bira yapmak şart oldu. Var mı konudan anlayan? . . . #tuborg #efespilsen #carlsberg #miller #amsterdam #corona #guiness #hoegarden…  https://www.instagram.com/p/Bol681oluG2/?utm_source=ig_twitter_share&igshid=op027vn8w72v …,2018-10-06
herkese ıyı haftasonları... cok ıcmeyın ... #tuborg #kırmızıtuborg #tattoo  https://www.facebook.com/ERDEMTUG/posts/10156125763912701 …,2018-10-06
Şu ALMAN SAFLIK YASASI yazıyoya bu #tuborg la bizi saf mı yapmaya çalışıyolar acaba #efes i unutturdular bize,2018-10-06
"Haftasonu geliyor, tarafını seç, maceraya başla 😎😎😎 . Efes’çi misin yoksa Tuborg’cu mu? Neden? 🍺🍺🍺 . . . #efespilsen #tuborg #bira #beer #oktoberfest #biracandir #birakardesligi  https://www.instagram.com/p/Boix-sWFUgS/?utm_source=ig_twitter_share&igshid=1e9ugspuaxmct …",2018-10-05
Bira fiyatları #tuborg #vietnam pic.twitter.com/2sFDMiDLQS,2018-10-05
Sizi soyup soğana çeviriyorum affedin #tuborg  pic.twitter.com/ArI7jno5Iw,2018-10-05
#anadoluefes yerli değil mi ki neden zam geldi onu anlamadik #beer #bira #efes #tuborg vs v.s,2018-10-04
Yorgunluk birasi 😂 nukhet_basbug 🙈🙋‍♀️💞😘 #birakeyfi #tuborg #aniyakala #objektifimden #beer #igglobolclub#hayatdevamediyor #bodrum #bodrumdabugün #bodrumdayasam #kadrajımdan…  https://www.instagram.com/p/Bog4eyMAdVG/?utm_source=ig_twitter_share&igshid=1mdpv1yxy8toe …,2018-10-04
"Kitap ve bira... Kitap olmazsa olmaz, bira motivasyon için şart. #PauloCoelho #ŞeytanveGençKadın #Tuborg  pic.twitter.com/lRm5O6c6f5",2018-10-03
"Yatakta #tuborg içilmiyor fındık fıstık yiyiyorsun kabukları yatağa dökülüyor, sonra uyuamıyorsun gece ... ben denedim gerçekten...  🤔☺☺☺🤗",2018-09-29
Bir eksik mi var sanki? #bira #tuborg #amsterdam #icki #içki #sarhoş #sarhos  https://www.instagram.com/p/BoTNMIeBP47/?utm_source=ig_twitter_share&igshid=1v0z38z8jewcb …,2018-09-29
Bizde toplantı buraya kadar 🙊@sadecemanty senerozdede ilknur_ozdede oonuralbayrak cetinzencirci #workshop #erkapetshop #tuborg #absolut @ The Hunger Piazza AVM  https://www.instagram.com/p/BoSK4XxB_Ev/?utm_source=ig_twitter_share&igshid=1l05qhw29wrsq …,2018-09-28
😍 Eğleniyorlarsak sorun yok Devam o zaman Sizden naber #tuborg ❤ 💋 💞 #antalya #antalyaswinger #swingerciftler #swingerantalya #softswinger #swingercift #istanbul #ankara #bursa #izmir #adana #Mersin #rize #diyarbakir #tekirdağ #muğla #aydin #Burdur #Samsun #denizli #edirne pic.twitter.com/0RtGK10kkL,2018-09-26
😍 Şiiitt sessizlik 😉  Biz iyiyiz sizler nasılsınız  #tuborg ❤ 💋 💞 👄 #antalya #antalyaswinger #swingerciftler #swingerantalya #softswinger #swingercift #istanbul #ankara #bursa #izmir #adana #Mersin #rize #diyarbakir #tekirdağ #muğla #aydin #Burdur #Samsun #denizli #edirne pic.twitter.com/dwfabdqLAx,2018-09-25
Sevgili #tuborg  Satiim mi fotoyu  pic.twitter.com/AiQXLmdes4,2018-09-22
Ben de misal o kapağın içinde ki plastiğini yemeye bayılıyorum. #tuborg asla sadece bira değildir.  https://twitter.com/remeyese/status/1043227873765740545 …,2018-09-21
kırmızı tuborgu özledim gençliğimi özledim   :( #tuborg,2018-09-21
Frederik gel canım... #tuborg Rica etti tadıyoruz. Şişesi kare! Delirmişler  Brown ale ❤️ Alkol dostunuz değildir ama #tuborg dostunuzdur.  pic.twitter.com/L6L3BgndQl,2018-09-21
#cocu aq bir paket Sigara içtim ya onuda geçtim nasıl yatıcam en iyisi 3 tane #tuborg içip hiç bişe düşünmeden yatmak sabahıda artık bir bardak soğuk su içip işe giderim,2018-09-21
#izin demek #pijama demek #dinlenmek demek #bira demek #huzur demek #özgürlük demek ve daha bir sürü şey... #tuborg #kırmızıtuborg #tuborgspecial 🤡🍺🌞 pic.twitter.com/d6If2HY3Hv,2018-09-20
Üstlük #çay #tea #gece #night #tuborg #beer  https://www.instagram.com/p/Bnwo0S_nYd_MNdm5Opy2NR4W3fDzKiQJx3qK140/?utm_source=ig_twitter_share&igshid=g4mtwqgyfjll …,2018-09-15
Bira içenlere bu sorum!!! 👇👇👇👇 #tuborg mu yoksa💛 #efes mi içiyonuz ♥️,2018-09-15
Bir cumartesi akşamı klasiği... #tuborg #Cumartesi #bira pic.twitter.com/l7LXrl1Hmb,2018-09-15
"Kendimi harcıyorum valla bu güzel kare için.. 💕 #nofilter #sea #holiday #selfie #vacation #beer #tuborg @ Karaburun, İzmir  https://www.instagram.com/p/Bnv_OIrB_CA/?utm_source=ig_twitter_share&igshid=11oicgh4nka6l …",2018-09-15
#Cumartesi gununun vazgecilmesi #tuborg sanada gunaydinnnn  pic.twitter.com/XTf7RAyWuU,2018-09-15
Kafayı kurtarınca memleketteki adaletsizliği tartışıyoruz biralar çok hızlı standart türk işi #tuborg  pic.twitter.com/951yQ92S4E,2018-09-15
"Kendimi harcamak pahasına da olsa, bu güzel kareyi koymadan geçemezdim... 💙 #nofilter #vacation #holiday #selfie #sea #infinity #beer #tuborg #pleasure @ Karaburun, İzmir  https://www.instagram.com/p/BnuEP5VBFpc/?utm_source=ig_twitter_share&igshid=mvuct1jnrm80 …",2018-09-14
#tuborg#2005#Türkiye#genç#erkekler#şampiyonu#Antalya  https://www.instagram.com/p/Bns4UEdBgXOLex29IbN6ZMkMF_7wbiAygJbDnA0/?utm_source=ig_twitter_share&igshid=1vc2wcp5dry97 …,2018-09-14
"Adanaspor'un eski maçlarını, Turbeyler Grubun tribün videolarını izleyip, Bira yudumlamak ve geçmiși düșünmek ne güzel bir duygu.  #TurbeylerGrubu #Adanaspor #Tuborg #Geçmiș",2018-09-12
Yeni favorim. Güzel gece oluyor. #Tuborg #Frederik #IndiaPaleAle pic.twitter.com/9TGnNuTfTa,2018-09-12
"JANYA'DA ""orjinal"" Tuborg fıçı bira kampanyası devam ediyor. Pazartesi , Salı ve Perşembe günleri 50 cl fıçı 10, 30 cl fıçı 8 tl.  #tuborg #fiçı #orjinal #bira #taksim #beyoğlu #istiklal @…  https://www.instagram.com/p/BnhdXSfhuAh/?utm_source=ig_twitter_share&igshid=2vtn7pyeyhg6 …",2018-09-10
Dünden bugüne reklamlar #reklamlar #reklam #tuborg #bira pic.twitter.com/ayTyuANSA9,2018-09-10
Kim demiş Pazartesi akşamı içilmez diye 😂😂🍻🍻 Belki yarın akşam yine orada olabilirim 🤘🤘#Watergarden #Watershow #Newcastle #Beer #Tuborg #Frendship #Monday…  https://www.instagram.com/p/Bng6AAOhKp1LH29LyL8EpOIlMWic3hPQn-wmTA0/?utm_source=ig_twitter_share&igshid=14kb69hymr0c7 …,2018-09-09
Mutlu ayrıldığınız tek adres #41tekelshop #izmit #kocaeli #alkol #efes #birlikteguzel #tuborg @ 41 Tekel Shop  https://www.instagram.com/p/BncHWdSHli6/?utm_source=ig_twitter_share&igshid=1mz5om0tx0qj0 …,2018-09-08
Seni ne kadar sevdiğimi anla artık #tuborg 😁  pic.twitter.com/SJ8r517IqF,2018-09-07
Iyi geceler herkese ☺  Afiyet olsun bize 😊 #tuborg ❤ @AslSiyah2 #ANTALYA #softswinger #antalyaswinger #swingerciftler #swingerantalya #swingersclub ❤ pic.twitter.com/O1iDpTTunu,2018-09-07
"#yorgundemokrat #emekçi #alkolik #instagram #instaalevi #beer #bira #tuborg #calrsberg @ Ataturk Orman Ciftligi, Ankara, Turkey  https://www.instagram.com/p/Bnbh9aJj9wI-VYp7ZKyl4_nEWDR-7D7dbvU-aU0/?utm_source=ig_twitter_share&igshid=1nqzhceybbbu2 …",2018-09-07
Tuborkçular haydi SKÖL!!🍻🍺🛡🌬⚡ #skol #sköl #cheers #tuborg #scotnational #scotspirit #vikings #visitscotland #tree #forest #prayforforest #irish #irland #6nations2018 #valhalla #paradise…  https://www.instagram.com/p/Bna9lOUgOYw/?utm_source=ig_twitter_share&igshid=ugdqz8rj7rff …,2018-09-07
#tuborg şişe ılk yudumda lık lık sesı benı bıtırıyo :))),2018-09-06
kac kere yemin ettim #tuborg sensiz yapamiyorum aaaaaaahhhhh bak yine geri geldim,2018-09-05
Ben #tuborg ‘a Allah razı olsun demiş adamım.,2018-09-04
Gecenin sürprizi gecenin şanslı masası teşekkür ederi #tuborg #bira #bear  https://www.instagram.com/p/BnUSY1hlI1X/?utm_source=ig_twitter_share&igshid=1r1xtfs1ogmx6 …,2018-09-04
Bir festivalin daha sonuna gelinir.. ve göç başlar... teşekkürler zeytinli.. #zrf2018 #zeytinlirockfest #rock #festival #rockforever #yüzdeyüzmüzik #tuborg #redbull @ Zeytinli Rock…  https://www.instagram.com/p/BnQJmNZH1P8/?utm_source=ig_twitter_share&igshid=1go854u5qpabb …,2018-09-03
