tweet,date
#şebnemferah #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik  #çakıltaşları @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/BmoryshD_yd/?utm_source=ig_twitter_share&igshid=19cpmy6jfrigj …,2018-08-19
#manga #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik  #birkadınçizeceksin @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/BmonY8tDlsa/?utm_source=ig_twitter_share&igshid=s8hfcubbkl1j …,2018-08-19
#manga #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik  #cevapsızsorular @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/BmogLC3DPqr/?utm_source=ig_twitter_share&igshid=1gfcugdapr2nn …,2018-08-18
#zakkum #mersin #erdemli #kocahasanlı #festival #konser #canlı #performans #ağustos #cuma #cumartesi #pazar #tuborg #yüzdeyüzmüzik #hatıranyeter @ Kocahasanlı Milyon Su Plaji  https://www.instagram.com/p/BmoJ0OHDeiS/?utm_source=ig_twitter_share&igshid=11m70pj7x60ob …,2018-08-18
Sanki Alkolik olduğumuz için içiyoruz. Bilmiyorlar  buz gibi bir 🍺 alıp apış aramıza koyup taşaklarımızı  soğuttuğumuzu ? #efes #tuborg #carlsberg,2018-08-18
Özlediğimiz hareketler bunlar #bira #tuborg #Gold #fıçı #ucuz pic.twitter.com/1bFkP450wh,2018-08-18
O zaman dans... O zaman renk... #tuborg #beer #KeyifliAksamlar pic.twitter.com/VLT5vHDTcJ,2018-08-18
"Burdan da engellendiğime göre rahat rahat yazabilirim.. hak etmediğim kadar üzdün ya, sen cidden üzülme.. benden daha iyisini hak ediyodun ama bu kadar sevilmeyi değil.... Yaşasın #tuborg",2018-08-17
2 günde 40'tan fazla #haber yazmış ve #beyin devreleri yanmış #muhabir halleri. Neyse ki yarın mesai yok şükür. #bira #tuborg #almansaflıkyasası. #abd tamam da #almnaya 'yı #boykot…  https://www.instagram.com/p/Bmi2px8jJDY/?utm_source=ig_twitter_share&igshid=uuazzjeoruyp …,2018-08-16
Yerli ve milli #efes varken #tuborg içen vatan hayinidr.,2018-08-16
Sevgili tadında Bira. #tuborg,2018-08-15
Tütsü kafası son şişe  kalan #tuborg  pic.twitter.com/uq4teOgpKV,2018-08-14
Biz sevdik te ne oldu kimse kazanmadı herşey  normal  #tuborg,2018-08-14
Bizim spor salonların da protein tozuyla şişirdiğimiz kaslarımız yok  Bizim geceler boyu ya isyan edip ya sevinip yada mazaretsiz içtiğimiz biraların göbeği var  #bomonti #Efes #tuborg,2018-08-13
Yarış sonrası klasiklermiz! #olmazsaolmaz #tuborg #kahrolsunefes #kabatepe @ Kabatepe Batık Gemi  https://www.instagram.com/p/BmbnM3rHDx8/?utm_source=ig_twitter_share&igshid=1bgxb4oovyp5i …,2018-08-13
#YerliMalıKullan mesela #tuborg içme üzerinde türk yazıyor insanlar kanıyor 💯 israil malı mesela,2018-08-13
İçtiğim her bira yerine 1 #dolar alsaydım şu an evimin musluklarından #tuborg Malt akıtacak kadar zengindim... Alkok bütün kötülüklerin anasıdır. #iyigeceler,2018-08-12
Marlboro Sigara Paketi ve BMW Araba Anahtarı Görünümlü Çakmağın Eksikliğini Saymazsak Gayet Güzel Foto 🤔 #bartender #cocktails #tuborg #marlboro #bar #alcohol #like4like #like…  https://www.instagram.com/p/BmYg5zvAlO9/?utm_source=ig_twitter_share&igshid=8xx9htotiw7j …,2018-08-12
En iyi dost #tuborg  pic.twitter.com/cKsar5T5il,2018-08-11
Hem zevklere sahip olduğumuz için onurluyuz #tuborg #KemalSunal pic.twitter.com/XncrPoZ2eD,2018-08-08
Sevmeyeni sevdiler seveni üzdüler. #tuborg  pic.twitter.com/wfT391fqdD,2018-08-08
Alkolün yanında en güzel giden şey: müzik  #tuborg #malt pic.twitter.com/Uj8RU58guv,2018-08-08
#tuborg tàn yeni bir lezzetle #frederik #ipa ile maça hazırız #benficafenerbahce  https://www.instagram.com/p/BmMEVUBH_-p/?utm_source=ig_twitter_share&igshid=4idf7sa1vcq9 …,2018-08-07
Sen Ne Efsane Birşeysin 😃 #Tuborg  pic.twitter.com/RtSSs748tH,2018-08-07
o kadar alkole çikolataya rağmen fena değil. aksini iddia eden survivor nagihandır😀 #chivas #tuborg #etikaram 😀  https://www.instagram.com/p/BmG-9e5B6FX/?utm_source=ig_twitter_share&igshid=1jt5tw43dfa78 …,2018-08-05
Son 10 yılda yıllık ortalama %30 kazandıran şirketler ;   #ASELS #EGEEN #SASA #SODA #LOGO #ADEL #THY #İNDES #HEKTAS #TUBORG #DATAGATE #BORUSAN pic.twitter.com/cpoH8i6vTX,2018-08-05
#tuborg simdi biraz kafamizi guzellestirecegiz,2018-08-05
Severiz kırmızıyı 😎 #tuborg  pic.twitter.com/QXMuRDngp1,2018-08-04
#milyonfestdalaman #yüzdeyüzmüzik #tuborg #milyonyapım @ Muğla Province  https://www.instagram.com/p/BmEfo43AZd-dS0uInugKmMFsRelGF6Sj3fqGcw0/?utm_source=ig_twitter_share&igshid=en0ok6z03i20 …,2018-08-04
#DünyaBiraGünü sizlik bişey yok 🤫😂 #tuborg ❤  pic.twitter.com/wTT4kT6yZT,2018-08-04
Janya'da orjinal fıçı tuborg kampanyası bu yaz da devam ediyor... #istanbul #beyoğlu #taksim #tuborg #bira #malt #buzgibibira #muzik #tiyatro #sanat @ Janya Cafe  https://www.instagram.com/p/Bl-dHAChivG/?utm_source=ig_twitter_share&igshid=kckhm9ckflsz …,2018-08-02
Beğenmeyen dinlemesin. 😉 #tuborg #tuborgkırmızı #birakeyfi. pic.twitter.com/lo7B4aypvx,2018-08-02
#Tuborg Frederik serisi 🍺👍🏼  pic.twitter.com/KxyVx44nqH – at BPR Guest House,2018-08-01
@oris_beach_bar de aksam saatinde soguk bir #tuborg .. bundan daha guzel ne olabilir ki #thankful #hayatagulumse  https://ift.tt/2mZb1nj  day before first day,2018-07-31
@oris_beach_bar de aksam saatinde soguk bir #tuborg .. bundan daha guzel ne olabilir ki #thankful #hayatagulumse  https://ift.tt/2mY2QaA  pic.twitter.com/KLnZ9P8ihy,2018-07-31
#Tuborg beni işe alsanıza tweeti..,2018-07-30
İyi gidiyor ne yalan söyleyeyim 😂 #tuborg #ehliyetsinavi pic.twitter.com/pJQiRgGgV9,2018-07-30
Kapına kırmızı #tuborg bıraktım..,2018-07-30
#tuborg  mu içiyorsun #efes mi 🤔😂,2018-07-29
#29TemmuzDünyaGüzellikGünü kafamizin guzelliginden bahsediyorsunu degil mi? Mesaji aldim. Uygulamaya geçiyorum. #Tuborg,2018-07-29
Soguk bira zamani #Tuborg,2018-07-29
Forvet gelmez Ve Gka açılmazsa  bunu içerim !  @AdanasporResmi @ErkinDYGN @ibrahimakgul @furkanakgull   Zindanlar neye yarar biz sana vurulmușuz #Adanaspor #Tuborg #AdamGibiBira  Biz yine tuborga devam. pic.twitter.com/4kjqR1Bkt1,2018-07-27
Nabza göre şerbetçi otu 😂🌾 #tuborg #100de100bira #prideday #adamgibibira #advertising #marketing pic.twitter.com/og7bdp7cxr,2018-07-27
"Relax... #Che #Beer #Night #Puro #Cigar #Cigarillo #Tuborg #Home @ Çanakkale, Turkey  https://www.instagram.com/p/BltY-CzAmU8/?utm_source=ig_twitter_share&igshid=1w9soqjdmjqub …",2018-07-27
"Tuborg candır demişmiydim. #çanakkale #ezine #geyikli #bozcaada #tuborg #tuborgcandır @ Geyikli, Canakkale, Turkey  https://www.instagram.com/p/BltTnr-h2Kk/?utm_source=ig_twitter_share&igshid=l95t1a05imxl …",2018-07-26
18 kişi arabaya binersen hamile kalırsın #tuborg  pic.twitter.com/PHrC4snPAb,2018-07-26
"#çanakkale #ezine #geyikli #bozcaada #tuborg #tuborggold #tuborgcandır @ Geyikli, Canakkale, Turkey  https://www.instagram.com/p/BloWcR-h6qv/?utm_source=ig_twitter_share&igshid=v48bglnki95t …",2018-07-25
"Bahçe keyfi #izmir #tuborg #keyif #bahçe #muhabbet #sohbet @ Çatalca, Izmir, Turkey  https://www.instagram.com/p/BliYK90AHP_wh12nXIQ_pVL4VNvKxRuHIHcDBk0/?utm_source=ig_twitter_share&igshid=ji2389qon01o …",2018-07-22
Bunu söylemekte bir beis görmüyorum ama bugün hala #tuborg birasının satılıyor olmasının altında gizemli bir şeyler arıyorum. O tat ile içilebilitoe olmasının başka anlamı olamaz.,2018-07-21
İyi mi geceler #tuborg  pic.twitter.com/yJTJCURgwg,2018-07-21
"Ekonomik kriz iyiden iyiye kendisini hissettirmeye başladı maalesef ,bu yıl tatil işi zor, üstelik dışarıda'da sosyalleşmiyoruz ,anca teras da #tuborg  takılmaca .",2018-07-21
"Haykıran dünyaya aşağıya #tuborg #bira #sapanca #sapancagölü #sakarya @ Sapanca, Sakarya, Turkey  https://www.instagram.com/p/Blfb4IZAuR8D-Z-nsRm4HtMztqpNv3S8WyWmE40/?utm_source=ig_twitter_share&igshid=1sz4enkef87hf …",2018-07-21
Madem hepimizin sonu morg o zaman yaşasın #tuborg  pic.twitter.com/7WNLR42EiC,2018-07-21
Şu sarı #tuborg birasının 8.75 tl olması beni çok üzüyor. Biraz daha pahalılaşması lazım..,2018-07-20
Saatim yok tam olarak bilemem Biraz bira biraz şarap önceydi Nasıl oluyor vakit bir türlü geçmezken Yıllar hayatlar geçiyor... #tbt🔙 #birazbira #tuborg…  https://www.instagram.com/p/Bladuh_AUrw5axpJecKLk9bnOdeDBDDJQ15bds0/?utm_source=ig_twitter_share&igshid=16qcfxdtf3y16 …,2018-07-19
Kaç tane veriyim? #tuborg  pic.twitter.com/JNzHlJfnP2,2018-07-19
Ve sen dünyanın en güzel manzarası  #Tuborg  pic.twitter.com/lFPvpWpzdL,2018-07-18
Şu zor günleri bi atlatayım en azından diğer gelecek zor günlere kadar azıcık daha toparlanmış olurum.#tuborg  pic.twitter.com/KQRKJhf3hl,2018-07-18
Bunaltıcı gecelerde tek dost vardır....  #tuborg #adamgibibira  KALP KALP KALP,2018-07-16
@blancobuffalo hoşgelmiş #konser #whitebuffalo #istanbul #küçükçiftlikpark #geldik #gezdik #gördük #tuborg @blancobuffalo abi sahnen iyi tebrik eder başarılarının devamını dilerim  😂😂…  https://www.instagram.com/p/BlTjjVbg0cr/?utm_source=ig_twitter_share&igshid=1onkj8oa1as9o …,2018-07-16
Açıklama sizden #çaylak #tuborg @ Çaylak Beach Clup  https://www.instagram.com/p/BlQmmTNnpQv/?utm_source=ig_twitter_share&igshid=866mheau6e2o …,2018-07-15
Tuborg Frederik !!!  Lansman Kampanyası Fotoğraf Çekimi ! 📸✨ 📷Fotoğraf: Gökhan Gökmen 🎨Retouch: Tolga Çelikel 🏦Müşteri: Tuborg ✏️Ajans: Espas . . . . #tuborg #frederik #beer #beerphotography #beerphoto...  https://www.facebook.com/277058052328836/posts/2191530807548208/ …,2018-07-15
Yine #tuborg içerken 🍻  pic.twitter.com/ydoOJHIblJ,2018-07-14
Yaşasın #tuborg  pic.twitter.com/csj5PejzXR,2018-07-13
on kere istedim bistrolar temiz değil burada içkiyi satıyorlar ama. Sonra boka bassan biz sıçmadık derler burnunun ucu koksa biz alıştık diyenler gibi. #tuborg #calsberg @Tuborggiller @calsberg pic.twitter.com/U5nEzFsyr3,2018-07-13
Sol Diyorum Sana Sol .. #edosultan #bomonti #tuborg  pic.twitter.com/Z95ZYpc4BW,2018-07-13
Cinsiyet üzerinden pazarlama yapmak ticari ahlaka uyuyor mu sevgili #tuborg ?  pic.twitter.com/1LCUVkg7Zn,2018-07-11
Bizi de üzdüler bizde #Tuborg üyeliği aldık,2018-07-10
#belgium🇧🇪 #worldcup2018 #edenhazard #romelulukaku #tuborg #adress #winner #liked #live #love #life @ Fetiye Kordon  https://www.instagram.com/p/BlD6UokHRihdhjqnvc22PnLXoAvqBX4qYueYLw0/?utm_source=ig_twitter_share&igshid=18sero3i67rwj …,2018-07-10
Anlatacak birşey var #photography #kabakkoyu #tuborg #camping #sunset #fethiye @ Kabak Koyu  https://www.instagram.com/p/BlDYHCkhDAq/?utm_source=ig_twitter_share&igshid=q7fxs0ovr30u …,2018-07-10
Rüyamizda 15 gün #tuborg shotlar görmessek iyi xd #AlkoldeTüketimBoykotu,2018-07-09
Belkide elinden gelenin fazlasını yapıyordur #kırmızı #tuborg hamak sallansın da mutlu olsun diye kimbilebilirki .  pic.twitter.com/sJLraMQr0d,2018-07-09
Hangi birayı daha çok seviyorsunuz ?  #TemptationIsland #BizYastayız #NewEraWithErdogan #efesbilsen #tuborg #carlsberg,2018-07-09
"Rahat bir uyku için, akşam 1 kadeh viski ya da 2 şişe #tuborg için.. #Aesderki",2018-07-09
"JANYA'DA BİRA KAMPANYASI DEVAM EDİYOR.  Pazartesi, Salı ve Perşembe günleri; Tuborg 50 cl fıçı: 10tl Tuborg 33 cl fıçı  8 tl. Ayrıca mevsime göre bira ikramları... #tuborg #fıçı #bira…  https://www.instagram.com/p/BlAwfE8BDxq/?utm_source=ig_twitter_share&igshid=1qo31c6hr2gus …",2018-07-09
Böyle de güzel bir fotoğraf. #tuborg #doğa #ENDURO pic.twitter.com/NoaaTKiZza,2018-07-09
#tuborg #adamgibibira #beer  Seviyoruz bu hayatı😉 pic.twitter.com/HEHEO3epWj,2018-07-08
Mutluluğun resmi ya şerefsizim.  #Tuborg  pic.twitter.com/jxfNMseab6,2018-07-08
Cumartesi akşamları içilmeyecek ise pazar gününün ne önemi var 😊 #afiyetolsun #tuborg #tuborgshot #taksim #beyoğlu #iyigeceler https://www.facebook.com/kafasiguzellerplatformu/videos/10156757145233706/ …,2018-07-08
"Kariyerimin en güzel tuzlu fıstığını yiyorum. Böyle bişey olamaz, yıllardır gdo’lu yiyomuşum gibi,, 3 tabak yerim bu akşam. Maç da var, #tuborg da var.  pic.twitter.com/RFLIjPcOHt",2018-07-07
#Keyfim #Yerinde #Tuborg #Haribo #Güneş #Deniz #Tatil #Happy #Blonde #Lancome #Lancaster #Edataşpınaryağı :))😂🍺😎💛 @ Türk Bükü  https://www.instagram.com/p/Bk7g8-FBCAok8vmb0Vxb84TjWpE9X3yiMqlP8Q0/?utm_source=ig_twitter_share&igshid=1whl0rozypzfk …,2018-07-07
#tuborg yanında çiğköfte olmaz 🤦‍♂️😃 #ProtestoEdiyorum pic.twitter.com/8H2Kcv8X31,2018-07-07
"Kuzey Avrupa'nın katlanamadığim tek özelliği yavaşlıkları. Bira alana kadar ayılıyorum, iş başa düştü... ne veriim abime?  #Roskilde #Roskilde18 #rf18 #tuborg #bira #beer #pivo @ Roskilde…  https://www.instagram.com/p/Bk5cgURlPPK/?utm_source=ig_twitter_share&igshid=4uoaruf9sq4m …",2018-07-06
İçki bile bana kıymet verin diye zam getirmiş kendinee yudum yudum içiyorum seni merak etme #tuborg #efes,2018-07-06
Hahahhahaha doğru bildiğiniz yanlışlar var 😂😂 #alkol #alkolik #tuborgshot #tuborg #tuborgmalt #efespilsen #alkolikhareketengellenemez #Edirne #istanbul #izmir #gaziosmanpaşa https://www.facebook.com/kafasiguzellerplatformu/videos/10156749451238706/ …,2018-07-05
9 Liraya #Tuborg mu olur..  abv  pic.twitter.com/j8PbXg4Rsi,2018-07-04
"Bir saat önce 7,75₺ ödediğim biraya şuan 8,75₺ ödedim... Kahrolsun akepe hükümeti..! Kahrolsun zamlar..! #Zam #Tuborg  pic.twitter.com/rlsUB2xJ4r",2018-07-03
İkiye on kala #tekirdag #saray #tuborg  pic.twitter.com/A7ujVhtFno,2018-07-03
Rahatlığın böylesi 👍🏻 #tuborg #nargilekeyfi @ Sugar Beach Club  https://www.instagram.com/p/BkxayvgA6TiDXEmM2tiXnOH4QEoLb-NL8Hpwqo0/?utm_source=ig_twitter_share&igshid=1gmo364suoahz …,2018-07-03
Biz bu biranın köpeğiyiz :d #tuborg  pic.twitter.com/hmOkYepATw,2018-07-02
Size sektörü özetleyeyim:  #tuborg  pic.twitter.com/A43CEqLilh,2018-07-01
Günlerden bir gün semtte içiyoruz 🙃 #kızkulesi #üsküdar #üsküdarsahil #salacak #harem #karlık #tuborg #efes #instagood #instadaily #like4like #night #ayükünmü @ Kız Kulesi  https://www.instagram.com/p/Bks5rT-B_aB/?utm_source=ig_twitter_share&igshid=vn2hwwcd3mtk …,2018-07-01
Danimarka birasini Türkiye’de satıyorsun gidip Alman’lara soruyorsun. Bu ne yahu amk ? #tuborggold #tuborg  pic.twitter.com/z3YVXCNHa7,2018-07-01
Seni Ne Kadar Sevdiğimi Anlatamam Sonra Diğerleri Kıskanır #gençler ...😎😎😎 #seviyoruz #alkolü #sağolsun #dimi #gençler #tuborg #keyiflipazarlar #gümüldür #izmir #türkiye @ GÜMÜLDÜR  https://www.instagram.com/p/BksNNfVgU-l/?utm_source=ig_twitter_share&igshid=uqyji44cdiao …,2018-07-01
#tuborg #adamgibibira sponsorsuz reklam pic.twitter.com/HHvRv4iZKf,2018-07-01
Vazgeçilmez ikilim @bilgeyts03 #tuborg  pic.twitter.com/shuhY6ftp7,2018-07-01
Sovuk duman nasıl da yakışıyor cancazıma <3 #tuborg  pic.twitter.com/RAYgJJyuig,2018-06-30
"Güzel şeyler hiç bitmesin, mesela #Tuborg gibiii 💕",2018-06-30
#tuborg herzaman heryerde  pic.twitter.com/XTNpVkmfxK,2018-06-29
Kapat git bir yere aç güzel bir #Tuborg ver keyfin dinine 😉,2018-06-29
#SevgiliArıyorum #tuborg Benimle con con kafesinde degil sokaklarda.sahillerde kirmizi icecek benim gibi olacak hayati en yakin kankam gibi paylasacak.Ayrica bildigi dogrudan donmeyecek.Yenmis tirnaklari olacak.Hayati barbiden degil harbiden yasayacak sevgili ariyorum .....  pic.twitter.com/rSanQLricj,2018-06-29
Bedeninin terlemesine bayiliyorum #tuborg 🤪  pic.twitter.com/pSYJyjUsMi,2018-06-28
Yorulduk 😎 hak ettik 😁 #beer #tuborg  https://www.instagram.com/p/Bkk0ACTnizADgpDTxF12W6ANLrKTAPW1HjNlpc0/?utm_source=ig_twitter_share&igshid=6nk896ra83yn …,2018-06-28
Sen neden bu kadar Güzelsin Tuborg ?  #tuborg #summerofholiday #Enjoy pic.twitter.com/G4F9zOcckN,2018-06-28
#tuborg  bu sıcakta en güzeli  pic.twitter.com/SlwpyRrZRq,2018-06-27
🌳ağaç yaşken eğilir #tuborg @ Kaş  https://www.instagram.com/p/Bkh4DjfhpyP/?utm_source=ig_twitter_share&igshid=1jdzcglfhapjd …,2018-06-27
Pistleri trollemeye gelmiş gibi hunharca oynamak teşekkürler #tuborg,2018-06-26
"Ha bu arada kordonda ampüllü bayrak sallayan suriyelilerin sponsoru ise #tuborg idi.. Gece yarısı vakti, dışı buzdan buğu yapmış şekilde...",2018-06-25
10 tane arkadaştan daha iyidir #tuborg 😏  pic.twitter.com/IYOX61oMTc,2018-06-24
Millet olarak kafamız çok karışık (Bugün ben)😂😂 #saturday #free #holiday #gym #cool #rest #weekend #beer #tuborg #efes #yeniraki #like #like4like @ Siesta Meşeli Park  https://www.instagram.com/p/BkXmd1TBM28/?utm_source=ig_twitter_share&igshid=baiu9svulpiz …,2018-06-23
"#bodrum #yalıkavak #seamen #instagood #tuborg #sunsed ✅✅ @ Yalıkavak, Muğla, Turkey  https://www.instagram.com/p/BkVh00Tnw92/?utm_source=ig_twitter_share&igshid=1iofrmczf67ma …",2018-06-22
suanda efesde snıper olarak calısyom takıp fırma Tuborg sorumlusuyla sureklı karsılasılasıyoruz yakında yemege cıkcaz hahha duymasınlar #efes #tuborg 😀,2018-06-22
Kelle basi 100 erden iyi para beni neden cagirmadiniz vekilim 1 gecelik kirmizi parasini cikarmistim 😂 #tuborg,2018-06-20
Mesai sonrası uyku öncesi ne güzel geldin beee #tuborg  pic.twitter.com/kB0IyfpKJ0,2018-06-20
Herşeyin başı mutluluk o da tuborg sokağından geçer #tuborg 🙌🙌🙌 @kafamhepmatiz 😂😂 pic.twitter.com/6QCyBPXOqd,2018-06-19
"Mademki sonumuz Morg , yaşasın sarı kırmızı #Tuborg 😉 (@ Mecidiyeköy - @sislibelediyesi in Şişli, İstanbul)  https://www.swarmapp.com/c/4HvYAdCUTgf  pic.twitter.com/GXIvWiBUQI",2018-06-17
Özlemişim sizi #tuborg #bomonti,2018-06-15
Takipçi sayım 100 e ulaşınca çekilişlere başlıyorum 🤗💫😉 #çekiliş #çekilişvar #bedava #viski #tekila #bomonti #rakı #tuborg yupppiiiii 😁😁,2018-06-15
"Yarın kokunu hissedicem,yarın seni öpüp kokluycam. Az kaldı sevgilim dayan #tuborg",2018-06-14
anayasaya göre ben #Tuborg 'un da paşasıyım  pic.twitter.com/3bVVykjybv,2018-06-13
Ben onun da paşasıyım  #Tuborg  pic.twitter.com/NlBSpcaMA9,2018-06-11
"Çok yazdım ceplerime sığmayacak kadar çok. Sonra hepsini yırttım,sonra aşka olan inancımı kaybettim, sonra bidaha kimseyi sevmedim. Kimse için icmedim, kimse için ağlamadım. Farkında olmamışım ama herşeyimi gideeken almışsın. #ayrilik #SiirSokakta #siir #rakı #tuborg #gece",2018-06-11
‘Adam gibi bira’ kadar ‘en iyisini annem bilir’ de cinsiyetçi bir söylem #tuborg #civil,2018-06-11
Dünya kupası başlıyor ama içki stoğum yok. Acil bu twiti tuborg bey abimizin timelineına düşürüp dünya kupası boyunca ücretsiz bira içebilmem için rt leyin cancaazlarım #tuborg @Tuborg,2018-06-11
"İki gün carlsberg içtim, pişman değilim sanırım senden vaz geçtim, beni affet #tuborg",2018-06-10
Bist şirketleri son 5 yılda ki net satış rakamları değişimi. #bist #bist100 #bist30 #thyao #froto #bimas #toaso #mgros #doas #slck #isdmr #asels #pgsus #trkcm #boyner #zoren #aksa #brsan #krdmr #krvtas #aken #tuborg #egeprof #yatas #beyaz #cmtas #parsn #logo #hekts #afyon pic.twitter.com/Z8h8MAwQ11,2018-06-08
duy beni #Tuborg A.Ş,2018-06-07
"Yaşamak hep böyledir, su biter seller durmaz #yalnizlik #ayrilik #kaybedenlerklubu #SiirSokakta #siir #gece #raki #tuborg",2018-06-04
Umutsuzluğa düştüğünde buzdolabında duran bir sonraki #Tuborg 'u düşün.  slogan olur bu.,2018-06-03
"Bak aklıma düştü yine , ne yapıyordur acaba şimdi bira dolabında çok soğumuş mudur ki acaba! Dayan #tuborg buluşmamız yakındır 🎈",2018-06-03
#tuborg reklami reklam bıramızı isteriz 🤗  pic.twitter.com/U3gYHhnlOy,2018-06-03
"Yine severmiydin beni, simsiyah duman olsaydım #yalnizlik #ayrilik #kaybedenlerklubu #SiirSokakta #siir #gece #raki #tuborg",2018-06-01
"Bilmiyorum ne haldayım, gidiyorum gündüz gece.. #yalnizlik #ayrilik #kaybedenlerklubu #SiirSokakta #siir #gece #raki #tuborg",2018-06-01
“Birayı bırakmayın. Bira kesintisiz akan kandır. Bira sonsuz sevgilidir”  #Efes #bomonti #tuborg  pic.twitter.com/mSXiEN8G5n,2018-05-28
Bi serinlik...#izmir #tuborg #midyeevi pic.twitter.com/j9VGjZj8uM,2018-05-27
Gözyaşlarınızı önemsemeyen insanları hemen hayatınızdan çıkarın... #yalnizlik #ayrilik #kaybedenlerklubu #SiirSokakta #siir #gece #raki #tuborg,2018-05-26
"Yine bana haram geceler, senin için ağlıyorum... #yalnizlik #ayrilik #kaybedenlerklubu #SiirSokakta #siir #gece #raki #tuborg",2018-05-22
Bazen o kadar kırılırsın ki içinden yazmak bile geçmez... #yalnizlik #ayrilik #kaybedenlerklubu #SiirSokakta #siir #gece #raki #tuborg,2018-05-22
Hangi kalem yazmış benim yazımı... #yalnizlik #ayrilik #kaybedenlerklubu #SiirSokakta #siir #gece #raki #tuborg,2018-05-22
#Tuborg sensiz hayatın anlamı YOKKKK,2018-05-18
Dünyanın En Güzel Takımına #Tuborg içerek destek oluyorum  pic.twitter.com/Xbbx6caTyF,2018-05-18
2015 ten beri ilk kez kafam güzel  teşekkürler #Tuborg 😏 ara verdigim alkol yaşantısına an itibari ile geri dönüş yapıyorum,2018-05-16
Ebemi siken bir pazartesi daha bitti.. Acil rahatlamalık #tuborg lazım,2018-05-14
Herkese mutlu umutlu haftalar dileriz. Firmaya özel çalışmalarımızla devam ediyoruz.. #cappadocia #kapadokya #coffee #kahve #sunum #cay #gurme #barista #interior #keşfet #kadıngirişimci #shemeansbusiness #bira #tuborg,2018-05-14
Yağmura inat #tuborg çantasından yeni…  https://www.instagram.com/p/Bir_U10naKjxrY_cnURWZsOoWqQqd0xS0WBcWE0/?utm_source=ig_twitter_share …,2018-05-12
Yaşasın #tuborg 😄  pic.twitter.com/sUCSkJeBhA,2018-05-12
"Kardeşimin doğum günü ve ona özel pastası, ayda ortalama 193 kutu bira içer, pardon bira değil kutu #TUBORG 😎  pic.twitter.com/JikcQulKrG",2018-05-12
Bütün gün çalışıp yorulup akşam yemekten önce 2 #Tuborg Gold içmemin tadı bir bambaşka,2018-05-10
"17 Mayıs Perşembe günü Tuborg Fabrikasına teknik gezi düzenleyeceğiz, kontenjanımız sınırlıdır.İlgilenen tüm arkadaşlarımızı bekleriz.Detaylara afişten veya iletişim numaralarından ulaşabilirsiniz. #iyte #inovasyon #teknikgezi #tuborg  pic.twitter.com/3adJv43pfF",2018-05-08
"Madem Hepimizin Sonu Morg Yaşasın Kırmızı ""#TUBORG""...  pic.twitter.com/moSmsGie4b",2018-05-07
Nasil bir huzur çeşidisin acaba sen masmaviiii 🥂 #tuborg  pic.twitter.com/m48Ba0CLw8,2018-05-05
Antalya dan bildiriyorum sıcak da soğuk #tuborg iyi gidiyor  pic.twitter.com/0qXHsVogqD,2018-05-04
İkindi birası #tuborg  pic.twitter.com/PqLCwWq7zX,2018-05-04
#sofya trenindeyim kırmızı #tuborg içip tuzlu fıstık yiyip hayatı sorguluyorum. Görüyosunuz mikemmel hayat🤘,2018-05-03
Hz. tuborg u sevmeyenin kıçı düşsün😂 #bira #tuborg  pic.twitter.com/4A0fuk5jjL,2018-05-03
Bira kapaklarından bedava çıksın 🍺 #tuborg #efespilsen,2018-05-01
#trtspor kamerasına #tuborg bira ile poz veren #beşiktaş lı arkadaş yoldaşımsın bundan sonra! 👍,2018-04-29
"Hava hep sıcak olsun, yanında buz gibi birayla 😬🙏 #bira #güneşlihava #buzgibibira #tuborg…  https://www.instagram.com/p/Bh88TwblxVt/ ",2018-04-24
#edoş&birol #bostancısahil bulutsum #tuborg #love #sun #aşk @…  https://www.instagram.com/p/Bh64ickhHAY-CxLzWi6qrTEgWBrxRl4A8-Zt8U0/ …,2018-04-23
"Alkol işinizi engelliyorsa, işinizi bırakın 😎✌🍺🍻 #tuborg yoksa #efes😉 pic.twitter.com/8rsfjRxH7T",2018-04-23
En iyisi bu... #sadrialışık #tuborg keyfi!  pic.twitter.com/dhHi5uEZyF,2018-04-23
"2018 Bira Fiyatları | Efes Pilsen Bira, Efes Fıçı ,Malt ve Ale Serisi, Bomonti Red Ale, Tuborg Gold, Amber, Miller Bira, Carlsberg, Amsterdam Bira, Corona, Duvel, Marmara ve Skol bira güncel fiyat listesi.   https://www.guncelfiyatlari.com/bira-fiyatlari/  #efes #tuborg #bomonti #Corona #Amsterdam pic.twitter.com/8rzq7kMznH",2018-04-23
Trakya gelini böyle olur #tuborg  pic.twitter.com/UplytwR0WQ,2018-04-22
"Gelemem sevdiğim , kader bağlıyor !  #tuborg",2018-04-22
Meydan okumamızın ilk kazananı lokmandoktor Bey çok hızlısınız🤣 #sanatbarda #barart #tuborg…  https://www.instagram.com/p/BhzfG2PAgvS/ ,2018-04-20
